date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:27:57	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Mar%202025%2012:27:56%20GMT	https://bracketweb.com/robots.txt		(from )
15:27:57	159692/159692	---MCZ	200	added ('OK')	text/html	etag:%2232685-1742026726;gz%22	https://bracketweb.com/jetlywp/	D:/Personal%20Projects/Tna-websitev2/bracketweb.com/jetlywp/index.html	(from )
15:27:58	114706/114706	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202024%2002:55:19%20GMT	https://bracketweb.com/jetlywp/wp-includes/css/dist/block-library/style.min.css?ver=6.7.2	D:/Personal%20Projects/Tna-websitev2/bracketweb.com/jetlywp/wp-includes/css/dist/block-library/style.mind1c0.css	(from https://bracketweb.com/jetlywp/)
15:27:58	21339/21339	---MCZ	200	added ('OK')	application/rss+xml	etag:%22c11376bdfd1d37a8feaff402eb097145%22	https://bracketweb.com/jetlywp/feed/	D:/Personal%20Projects/Tna-websitev2/bracketweb.com/jetlywp/feed/index.html	(from https://bracketweb.com/jetlywp/)
15:27:58	10072/10072	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c11376bdfd1d37a8feaff402eb097145%22	https://bracketweb.com/jetlywp/comments/feed/	D:/Personal%20Projects/Tna-websitev2/bracketweb.com/jetlywp/comments/feed/index.html	(from https://bracketweb.com/jetlywp/)
15:27:59	10435/10435	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Mar%202023%2014:28:11%20GMT	https://bracketweb.com/jetlywp/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=9.4.4	D:/Personal%20Projects/Tna-websitev2/bracketweb.com/jetlywp/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style556e.css	(from https://bracketweb.com/jetlywp/)
15:27:59	255142/255142	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Mar%202023%2014:28:11%20GMT	https://bracketweb.com/jetlywp/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=9.4.4	D:/Personal%20Projects/Tna-websitev2/bracketweb.com/jetlywp/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style556e.css	(from https://bracketweb.com/jetlywp/)
15:27:59	2630/2630	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Mar%202023%2014:28:06%20GMT	https://bracketweb.com/jetlywp/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox.css?ver=1.2.0	D:/Personal%20Projects/Tna-websitev2/bracketweb.com/jetlywp/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox7359.css	(from https://bracketweb.com/jetlywp/)
15:28:00	30603/30603	---M-Z	200	added ('OK')	text/css	date:Fri,%2003%20Mar%202023%2014:28:06%20GMT	https://bracketweb.com/jetlywp/wp-content/plugins/yith-woocommerce-wishlist/assets/css/font-awesome.css?ver=4.7.0	D:/Personal%20Projects/Tna-websitev2/bracketweb.com/jetlywp/wp-content/plugins/yith-woocommerce-wishlist/assets/css/font-awesome1849.css	(from https://bracketweb.com/jetlywp/)
15:28:00	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2018%20Mar%202025%2012:28:00%20GMT	http://bracketweb.com/jetlywp/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6	D:/Personal%20Projects/Tna-websitev2/bracketweb.com/jetlywp/wp-content/plugins/woocommerce/assets/css/prettyPhoto.5005e.delayed	(from https://bracketweb.com/jetlywp/)
